TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE
Phoenix Suns,82,29,53,0.354,2958,6671,0.443,415,1202,0.345,1392,1865,0.746,924,2406,3330,1586,1249.0,734,383,431,1862,3,7723,-307.0,2003-04,100.3,104.2,-3.8,0.536,1.27,15.3,0.297,0.661,0.479,0.162,0.475,0.515,93.72,7699,0.466
Phoenix Suns,82,62,20,0.756,3351,7018,0.477,796,2026,0.393,1556,2080,0.748,967,2652,3619,1927,1125.0,572,453,342,1563,1,9054,584.0,2004-05,112.7,105.7,7.0,0.575,1.71,17.4,0.304,0.656,0.49,0.14,0.534,0.571,97.35,8034,0.546
Phoenix Suns,82,54,28,0.659,3430,7167,0.479,837,2097,0.399,1189,1475,0.806,778,2650,3428,2179,1088.0,549,412,282,1683,1623,8886,455.0,2005-06,110.2,104.7,5.4,0.635,2.0,19.5,0.256,0.69,0.48,0.135,0.537,0.568,96.92,8067,0.547
Phoenix Suns,82,61,21,0.744,3388,6855,0.494,785,1965,0.399,1476,1827,0.808,737,2583,3320,2122,1189.0,553,394,304,1659,1759,9037,599.0,2006-07,112.9,105.5,7.4,0.626,1.78,19.3,0.262,0.683,0.484,0.149,0.551,0.59,96.45,8002,0.561
Phoenix Suns,82,55,27,0.671,3392,6782,0.5,694,1764,0.393,1548,1977,0.783,720,2683,3403,2188,1184.0,532,518,311,1633,1731,9026,414.0,2007-08,112.0,107.0,5.0,0.645,1.85,19.7,0.253,0.674,0.481,0.147,0.551,0.59,97.72,8058,0.556
Phoenix Suns,82,46,36,0.561,3373,6695,0.504,553,1445,0.383,1675,2251,0.744,900,2520,3420,1905,1288.0,589,420,369,1691,1877,8974,158.0,2008-09,112.4,110.4,2.0,0.565,1.48,17.4,0.308,0.682,0.503,0.161,0.545,0.584,96.99,7984,0.525
Phoenix Suns,82,54,28,0.659,3339,6788,0.492,730,1770,0.412,1631,2117,0.77,910,2616,3526,1912,1210.0,479,418,365,1713,1789,9039,402.0,2009-10,113.9,109.1,4.8,0.573,1.58,17.5,0.311,0.673,0.503,0.152,0.546,0.585,96.43,7937,0.536
Phoenix Suns,82,40,42,0.488,3219,6844,0.47,701,1857,0.377,1472,1939,0.759,821,2478,3299,1945,1169.0,545,357,356,1666,1740,8611,-73.0,2010-11,108.6,109.4,-0.8,0.604,1.66,17.9,0.275,0.681,0.48,0.147,0.522,0.559,95.18,7930,0.494
Phoenix Suns,66,33,33,0.5,2495,5445,0.458,444,1295,0.343,1058,1397,0.757,717,2035,2752,1486,928.0,431,366,288,1233,1293,6492,-16.0,2011-12,105.2,105.2,-0.1,0.596,1.6,17.4,0.294,0.687,0.493,0.15,0.499,0.536,93.61,6173,0.502
Phoenix Suns,82,25,57,0.305,3061,6917,0.443,480,1455,0.33,1203,1618,0.744,959,2454,3413,1855,1278.0,659,434,421,1688,1511,7805,-530.0,2012-13,100.2,106.9,-6.7,0.606,1.45,17.1,0.308,0.687,0.491,0.164,0.477,0.512,94.48,7793,0.458
