TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON
Chicago Bulls,82,27,55,0.329,3170,7285,0.435,906,2549,0.355,1194,1574,0.759,790,2872,3662,1923,1147.0,626,289,423,1571,1425,8440,-577.0,2017-18
Cleveland Cavaliers,82,50,32,0.61,3311,6950,0.476,981,2636,0.372,1488,1909,0.779,694,2761,3455,1916,1126.0,582,312,340,1524,1696,9091,77.0,2017-18
Dallas Mavericks,82,24,58,0.293,3128,7042,0.444,967,2688,0.36,1167,1530,0.763,666,2717,3383,1858,1007.0,578,310,369,1578,1604,8390,-249.0,2017-18
Denver Nuggets,82,46,36,0.561,3338,7102,0.47,940,2536,0.371,1404,1830,0.767,902,2748,3650,2059,1226.0,627,404,391,1533,1699,9020,121.0,2017-18
Detroit Pistons,82,39,43,0.476,3208,7129,0.45,886,2373,0.373,1207,1621,0.745,830,2756,3586,1868,1102.0,628,317,398,1508,1511,8509,-12.0,2017-18
Golden State Warriors,82,58,24,0.707,3509,6979,0.503,926,2369,0.391,1360,1668,0.815,691,2877,3568,2402,1265.0,656,612,300,1607,1516,9304,490.0,2017-18
Houston Rockets,82,65,17,0.793,3174,6906,0.46,1256,3470,0.362,1609,2061,0.781,739,2825,3564,1767,1135.0,699,392,363,1597,1670,9213,695.0,2017-18
Indiana Pacers,82,48,34,0.585,3345,7083,0.472,741,2010,0.369,1225,1573,0.779,788,2684,3472,1819,1088.0,721,340,428,1544,1514,8656,113.0,2017-18
LA Clippers,82,42,40,0.512,3302,7004,0.471,777,2196,0.354,1556,2095,0.743,832,2766,3598,1832,1204.0,628,372,462,1638,1803,8937,3.0,2017-18
Los Angeles Lakers,82,35,47,0.427,3338,7248,0.461,822,2384,0.345,1364,1910,0.714,876,2927,3803,1949,1295.0,633,388,447,1736,1679,8862,-127.0,2017-18
Memphis Grizzlies,82,22,60,0.268,3013,6788,0.444,758,2152,0.352,1361,1732,0.786,779,2544,3323,1767,1227.0,613,396,421,1900,1674,8145,-509.0,2017-18
Miami Heat,82,44,38,0.537,3184,6997,0.455,903,2506,0.36,1209,1601,0.755,763,2801,3564,1862,1178.0,620,437,378,1648,1587,8480,39.0,2017-18
Milwaukee Bucks,82,44,38,0.537,3257,6807,0.478,718,2024,0.355,1499,1915,0.783,688,2579,3267,1905,1135.0,722,443,366,1752,1633,8731,-25.0,2017-18
Minnesota Timberwolves,82,47,35,0.573,3365,7063,0.476,658,1845,0.357,1592,1980,0.804,848,2593,3441,1861,1021.0,689,345,382,1495,1710,8980,183.0,2017-18
New Orleans Pelicans,82,48,34,0.585,3500,7241,0.483,837,2312,0.362,1324,1716,0.772,712,2923,3635,2195,1223.0,657,485,344,1570,1669,9161,107.0,2017-18
New York Knicks,82,29,53,0.354,3334,7193,0.464,673,1914,0.352,1225,1557,0.787,859,2752,3611,1912,1208.0,552,421,389,1682,1509,8566,-292.0,2017-18
Oklahoma City Thunder,82,48,34,0.585,3271,7221,0.453,881,2491,0.354,1421,1985,0.716,1024,2671,3695,1750,1147.0,743,412,377,1653,1750,8844,280.0,2017-18
Orlando Magic,82,25,57,0.305,3182,7042,0.452,844,2405,0.351,1271,1678,0.757,722,2692,3414,1921,1192.0,622,400,402,1579,1556,8479,-395.0,2017-18
Philadelphia 76ers,82,52,30,0.634,3349,7098,0.472,901,2445,0.369,1405,1868,0.752,893,2996,3889,2221,1353.0,682,420,417,1811,1670,9004,369.0,2017-18
Phoenix Suns,82,21,61,0.256,3153,7141,0.442,763,2286,0.334,1453,1962,0.741,842,2776,3618,1743,1289.0,569,370,488,1807,1715,8522,-768.0,2017-18
Portland Trail Blazers,82,49,33,0.598,3222,7132,0.452,845,2308,0.366,1372,1715,0.8,835,2893,3728,1599,1109.0,573,423,418,1599,1564,8661,213.0,2017-18
Sacramento Kings,82,27,55,0.329,3179,7063,0.45,738,1967,0.375,1008,1371,0.735,776,2578,3354,1768,1125.0,643,340,389,1639,1422,8104,-573.0,2017-18
San Antonio Spurs,82,47,35,0.573,3202,6999,0.457,696,1977,0.352,1324,1715,0.772,849,2777,3626,1868,1078.0,628,460,318,1408,1619,8424,237.0,2017-18
Toronto Raptors,82,59,23,0.72,3383,7169,0.472,968,2705,0.358,1422,1790,0.794,800,2807,3607,1995,1095.0,626,500,401,1783,1633,9156,638.0,2017-18
Utah Jazz,82,48,34,0.585,3139,6797,0.462,887,2425,0.366,1375,1766,0.779,740,2807,3547,1839,1205.0,708,420,380,1608,1683,8540,353.0,2017-18
Washington Wizards,82,43,39,0.524,3275,7018,0.467,814,2173,0.375,1378,1786,0.772,823,2713,3536,2065,1196.0,645,353,383,1746,1639,8742,48.0,2017-18
,10,6,4,0.6,317,741,0.428,86,263,0.327,160,221,0.724,92,294,386,174,153.0,68,43,60,230,239,880,38.0,2018-19
,10,6,4,0.6,318,729,0.436,75,213,0.352,133,183,0.727,94,265,359,153,130.0,70,66,39,204,223,844,-13.0,2018-19
,9,3,6,0.333,287,728,0.394,84,284,0.296,129,189,0.683,110,276,386,143,138.0,79,39,62,185,183,787,-57.0,2018-19
,8,4,4,0.5,265,605,0.438,65,198,0.328,100,142,0.704,77,268,345,149,119.0,53,33,44,181,146,695,-1.0,2018-19
,8,4,4,0.5,249,605,0.412,72,233,0.309,127,182,0.698,94,224,318,155,115.0,61,31,35,168,176,697,-6.0,2018-19
,8,4,4,0.5,219,611,0.358,61,237,0.257,93,126,0.738,83,235,318,116,94.0,90,48,38,188,144,592,-6.0,2018-19
,8,3,5,0.375,230,557,0.413,44,172,0.256,112,159,0.704,71,242,313,113,130.0,57,31,35,162,177,616,-36.0,2018-19
,8,3,5,0.375,248,574,0.432,62,180,0.344,105,146,0.719,61,240,301,140,129.0,53,51,36,163,169,663,-41.0,2018-19
,7,7,0,1.0,240,526,0.456,61,151,0.404,110,143,0.769,74,216,290,118,98.0,58,40,25,140,158,651,102.0,2018-19
,7,5,2,0.714,226,518,0.436,50,161,0.311,123,162,0.759,74,218,292,107,120.0,49,34,35,188,164,625,41.0,2018-19
,6,4,2,0.667,190,431,0.441,42,134,0.313,78,104,0.75,60,169,229,101,76.0,41,26,26,112,97,500,7.0,2018-19
,6,2,4,0.333,185,475,0.389,29,124,0.234,89,135,0.659,83,181,264,90,79.0,53,24,42,123,123,488,-24.0,2018-19
,6,3,3,0.5,158,430,0.367,44,171,0.257,92,122,0.754,50,169,219,80,91.0,50,20,37,121,114,452,-34.0,2018-19
,6,2,4,0.333,176,459,0.383,66,200,0.33,73,99,0.737,63,158,221,101,83.0,41,38,33,147,116,491,-37.0,2018-19
,6,2,4,0.333,179,470,0.381,57,190,0.3,80,116,0.69,80,160,240,98,90.0,54,33,35,156,117,495,-40.0,2018-19
,5,4,1,0.8,150,334,0.449,42,117,0.359,68,96,0.708,42,159,201,93,96.0,45,23,32,111,114,410,66.0,2018-19
,5,2,3,0.4,173,392,0.441,37,116,0.319,97,136,0.713,60,135,195,83,67.0,58,24,21,125,121,480,33.0,2018-19
,5,3,2,0.6,148,384,0.385,26,125,0.208,70,104,0.673,56,149,205,60,80.0,56,27,27,62,101,392,26.0,2018-19
,5,4,1,0.8,156,374,0.417,55,166,0.331,112,159,0.704,43,159,202,84,85.0,47,42,27,125,140,479,25.0,2018-19
,5,2,3,0.4,161,373,0.432,41,137,0.299,57,81,0.704,47,159,206,87,80.0,33,28,26,75,106,420,23.0,2018-19
,5,3,2,0.6,166,363,0.457,31,94,0.33,78,123,0.634,46,164,210,95,91.0,47,26,28,104,110,441,18.0,2018-19
,5,2,3,0.4,140,363,0.386,31,133,0.233,69,100,0.69,51,149,200,67,77.0,40,28,24,118,110,380,11.0,2018-19
,5,2,3,0.4,173,351,0.493,38,98,0.388,102,129,0.791,28,140,168,102,81.0,40,20,32,113,118,486,8.0,2018-19
,5,3,2,0.6,156,386,0.404,39,132,0.295,85,125,0.68,84,131,215,82,83.0,49,24,22,82,105,436,8.0,2018-19
,5,3,2,0.6,156,371,0.42,32,108,0.296,46,66,0.697,50,146,196,92,71.0,44,12,26,105,79,390,1.0,2018-19
,5,3,2,0.6,160,390,0.41,34,130,0.262,79,101,0.782,53,148,201,83,71.0,44,20,19,86,106,433,0.0,2018-19
,5,2,3,0.4,140,339,0.413,52,139,0.374,68,95,0.716,39,152,191,82,80.0,27,21,11,105,107,400,-6.0,2018-19
,5,2,3,0.4,164,377,0.435,29,104,0.279,88,120,0.733,56,137,193,79,68.0,41,37,22,108,109,445,-8.0,2018-19
,5,1,4,0.2,146,361,0.404,26,134,0.194,84,113,0.743,39,127,166,82,88.0,52,31,26,112,123,402,-25.0,2018-19
,5,0,5,0.0,147,375,0.392,42,142,0.296,70,90,0.778,44,166,210,86,103.0,31,38,33,89,93,406,-73.0,2018-19
Atlanta Hawks,82,29,53,0.354,3392,7524,0.451,1067,3034,0.352,1443,1918,0.752,955,2825,3780,2118,1397.0,675,419,448,1932,1817,9294,-494.0,2018-19
Boston Celtics,82,49,33,0.598,3451,7423,0.465,1032,2829,0.365,1282,1598,0.802,804,2849,3653,2155,1052.0,706,435,317,1670,1602,9216,364.0,2018-19
Brooklyn Nets,82,42,40,0.512,3301,7358,0.449,1047,2965,0.353,1555,2088,0.745,900,2919,3819,1954,1236.0,539,339,432,1763,1807,9204,-6.0,2018-19
Charlotte Hornets,82,39,43,0.476,3297,7362,0.448,977,2783,0.351,1510,1895,0.797,814,2778,3592,1905,1001.0,591,405,492,1550,1686,9081,-90.0,2018-19
Chicago Bulls,82,22,60,0.268,3266,7205,0.453,745,2123,0.351,1328,1695,0.783,718,2799,3517,1796,1159.0,603,351,473,1663,1534,8605,-690.0,2018-19
Cleveland Cavaliers,82,19,63,0.232,3189,7184,0.444,847,2388,0.355,1342,1694,0.792,879,2619,3498,1698,1106.0,534,195,459,1642,1592,8567,-788.0,2018-19
Dallas Mavericks,82,33,49,0.402,3182,7122,0.447,1022,3002,0.34,1541,2076,0.742,832,2884,3716,1918,1167.0,533,351,368,1650,1905,8927,-105.0,2018-19
Denver Nuggets,82,54,28,0.659,3439,7384,0.466,903,2571,0.351,1294,1714,0.755,972,2832,3804,2245,1102.0,634,363,407,1644,1675,9075,324.0,2018-19
Detroit Pistons,82,41,41,0.5,3185,7238,0.44,993,2854,0.348,1415,1893,0.747,936,2752,3688,1845,1135.0,569,331,419,1811,1748,8778,-20.0,2018-19
Golden State Warriors,82,57,25,0.695,3612,7361,0.491,1087,2824,0.385,1339,1672,0.801,797,2990,3787,2413,1169.0,625,525,295,1757,1601,9650,530.0,2018-19
Houston Rockets,82,53,29,0.646,3218,7163,0.449,1323,3721,0.356,1582,2001,0.791,836,2613,3449,1741,1094.0,700,405,369,1803,1640,9341,391.0,2018-19
Indiana Pacers,82,48,34,0.585,3390,7135,0.475,779,2081,0.374,1298,1727,0.752,762,2766,3528,2128,1122.0,713,404,425,1594,1642,8857,273.0,2018-19
LA Clippers,82,48,34,0.585,3384,7178,0.471,821,2118,0.388,1853,2340,0.792,796,2936,3732,1970,1193.0,561,385,498,1913,1969,9442,70.0,2018-19
Los Angeles Lakers,82,37,45,0.451,3491,7425,0.47,847,2541,0.333,1336,1910,0.699,835,2985,3820,2096,1284.0,618,440,421,1701,1706,9165,-141.0,2018-19
Memphis Grizzlies,82,33,49,0.402,3113,6924,0.45,811,2368,0.342,1453,1882,0.772,723,2703,3426,1963,1147.0,684,448,402,1801,1758,8490,-213.0,2018-19
Miami Heat,82,39,43,0.476,3251,7218,0.45,928,2658,0.349,1238,1782,0.695,921,2879,3800,1991,1208.0,627,448,389,1712,1652,8668,-19.0,2018-19
Milwaukee Bucks,82,60,22,0.732,3555,7471,0.476,1105,3134,0.353,1471,1904,0.773,762,3316,4078,2136,1137.0,615,486,395,1608,1653,9686,727.0,2018-19
Minnesota Timberwolves,82,36,46,0.439,3413,7483,0.456,827,2357,0.351,1570,1995,0.787,923,2750,3673,2018,1074.0,683,411,455,1664,1795,9223,-123.0,2018-19
New Orleans Pelicans,82,33,49,0.402,3581,7563,0.473,842,2449,0.344,1462,1921,0.761,909,2969,3878,2216,1215.0,610,441,445,1732,1722,9466,-109.0,2018-19
New York Knicks,82,17,65,0.207,3134,7241,0.433,823,2421,0.34,1484,1956,0.759,857,2811,3668,1646,1151.0,557,422,458,1713,1708,8575,-755.0,2018-19
Oklahoma City Thunder,82,49,33,0.598,3497,7706,0.454,932,2677,0.348,1461,2049,0.713,1031,2911,3942,1917,1145.0,766,425,415,1839,1844,9387,279.0,2018-19
Orlando Magic,82,42,40,0.512,3316,7307,0.454,937,2633,0.356,1231,1575,0.782,822,2902,3724,2095,1082.0,543,445,362,1526,1537,8800,58.0,2018-19
Philadelphia 76ers,82,51,31,0.622,3407,7233,0.471,889,2474,0.359,1742,2258,0.771,892,3025,3917,2207,1223.0,606,432,336,1745,1816,9445,221.0,2018-19
Phoenix Suns,82,19,63,0.232,3289,7164,0.459,790,2400,0.329,1447,1858,0.779,748,2563,3311,1957,1279.0,735,418,411,1932,1694,8815,-766.0,2018-19
Portland Trail Blazers,82,53,29,0.646,3470,7427,0.467,904,2520,0.359,1558,1914,0.814,967,2968,3935,1887,1135.0,546,413,420,1669,1699,9402,344.0,2018-19
Sacramento Kings,82,39,43,0.476,3541,7637,0.464,927,2455,0.378,1354,1865,0.726,906,2819,3725,2083,1095.0,679,363,420,1751,1753,9363,-92.0,2018-19
San Antonio Spurs,82,48,34,0.585,3468,7248,0.478,812,2071,0.392,1408,1720,0.819,757,2910,3667,2013,992.0,501,386,332,1487,1611,9156,138.0,2018-19
Toronto Raptors,82,58,24,0.707,3460,7305,0.474,1015,2771,0.366,1449,1803,0.804,786,2920,3706,2085,1150.0,680,437,368,1724,1683,9384,499.0,2018-19
Utah Jazz,82,50,32,0.61,3314,7082,0.468,993,2789,0.356,1540,2092,0.736,820,2981,3801,2133,1240.0,663,483,376,1728,1835,9161,431.0,2018-19
Washington Wizards,82,32,50,0.39,3456,7387,0.468,930,2731,0.341,1508,1963,0.768,794,2679,3473,2154,1154.0,683,379,378,1701,1741,9350,-238.0,2018-19
Atlanta Hawks,72,22,50,0.306,2852,6416,0.445,849,2554,0.332,1322,1680,0.787,709,2374,3083,1676,1175.0,571,374,442,1669,1514,7875,-541.0,2019-20
Boston Celtics,77,52,25,0.675,3148,6842,0.46,955,2637,0.362,1413,1774,0.797,834,2709,3543,1751,1070.0,645,431,415,1668,1603,8664,518.0,2019-20
Brooklyn Nets,78,39,39,0.5,3095,6933,0.446,980,2890,0.339,1407,1892,0.744,824,2893,3717,1851,1201.0,501,365,403,1627,1682,8577,-6.0,2019-20
Charlotte Hornets,70,25,45,0.357,2581,5950,0.434,829,2375,0.349,1121,1495,0.75,764,2191,2955,1636,1028.0,468,282,348,1335,1435,7112,-438.0,2019-20
Chicago Bulls,70,24,46,0.343,2720,6113,0.445,818,2393,0.342,1078,1429,0.754,725,2194,2919,1578,1091.0,695,287,408,1515,1344,7336,-233.0,2019-20
Cleveland Cavaliers,73,21,52,0.288,2841,6264,0.454,801,2309,0.347,1098,1458,0.753,762,2370,3132,1625,1195.0,505,234,440,1320,1418,7581,-588.0,2019-20
Dallas Mavericks,80,46,34,0.575,3295,7139,0.462,1186,3240,0.366,1471,1893,0.777,836,2853,3689,1934,1036.0,510,391,335,1591,1712,9247,385.0,2019-20
Denver Nuggets,77,47,30,0.61,3197,6770,0.472,836,2336,0.358,1225,1584,0.773,828,2534,3362,2026,1077.0,616,348,337,1575,1573,8455,133.0,2019-20
Detroit Pistons,71,24,47,0.338,2760,6041,0.457,855,2330,0.367,1175,1581,0.743,699,2253,2952,1691,1084.0,537,333,396,1425,1413,7550,-186.0,2019-20
Golden State Warriors,73,18,55,0.247,2745,6303,0.436,736,2243,0.328,1331,1667,0.798,715,2366,3081,1786,1110.0,603,332,348,1470,1492,7557,-576.0,2019-20
Houston Rockets,77,47,30,0.61,3098,6896,0.449,1196,3465,0.345,1544,1960,0.788,753,2590,3343,1644,1130.0,678,387,373,1655,1618,8936,191.0,2019-20
Indiana Pacers,78,46,32,0.59,3211,6830,0.47,777,2187,0.355,1181,1511,0.782,695,2614,3309,1949,1041.0,586,384,364,1551,1486,8380,75.0,2019-20
LA Clippers,77,52,25,0.675,3141,6810,0.461,943,2546,0.37,1568,1993,0.787,823,2821,3644,1794,1118.0,547,360,363,1694,1735,8793,468.0,2019-20
Los Angeles Lakers,79,55,24,0.696,3249,6883,0.472,859,2495,0.344,1402,1932,0.726,853,2715,3568,1945,1195.0,668,492,299,1696,1726,8759,342.0,2019-20
Memphis Grizzlies,83,42,41,0.506,3419,7396,0.462,902,2604,0.346,1363,1790,0.761,865,2965,3830,2142,1267.0,652,457,431,1742,1685,9103,-30.0,2019-20
Miami Heat,81,50,31,0.617,3147,6746,0.466,1050,2801,0.375,1582,2026,0.781,710,2858,3568,2025,1211.0,609,371,328,1692,1776,8926,304.0,2019-20
Milwaukee Bucks,78,58,20,0.744,3316,7015,0.473,1064,3010,0.353,1421,1920,0.74,734,3230,3964,1977,1183.0,562,439,349,1546,1710,9117,734.0,2019-20
Minnesota Timberwolves,71,25,46,0.352,2803,6382,0.439,926,2743,0.338,1366,1806,0.756,734,2414,3148,1644,1085.0,611,386,401,1520,1541,7898,-198.0,2019-20
New Orleans Pelicans,78,34,44,0.436,3268,7082,0.461,1040,2827,0.368,1319,1812,0.728,880,2747,3627,2031,1261.0,594,392,389,1642,1637,8895,-35.0,2019-20
New York Knicks,71,23,48,0.324,2799,6255,0.447,676,2001,0.338,1176,1703,0.691,836,2450,3286,1544,1020.0,535,354,357,1576,1448,7450,-412.0,2019-20
Oklahoma City Thunder,77,48,29,0.623,3024,6504,0.465,801,2305,0.348,1496,1898,0.788,629,2635,3264,1650,1067.0,598,386,311,1480,1770,8345,148.0,2019-20
Orlando Magic,78,35,43,0.449,3025,6824,0.443,851,2473,0.344,1346,1747,0.77,789,2621,3410,1830,1004.0,644,413,357,1447,1519,8247,-63.0,2019-20
Philadelphia 76ers,78,45,33,0.577,3156,6810,0.463,897,2455,0.365,1333,1773,0.752,826,2715,3541,1975,1133.0,625,429,324,1669,1618,8542,149.0,2019-20
Phoenix Suns,77,37,40,0.481,3128,6715,0.466,871,2432,0.358,1514,1823,0.83,741,2574,3315,2049,1136.0,594,306,419,1717,1751,8641,42.0,2019-20
Portland Trail Blazers,79,37,42,0.468,3289,7113,0.462,1000,2659,0.376,1379,1733,0.796,807,2746,3553,1590,1029.0,495,466,386,1702,1596,8957,-89.0,2019-20
Sacramento Kings,80,34,46,0.425,3201,6964,0.46,988,2736,0.361,1270,1662,0.764,786,2606,3392,1852,1172.0,606,322,341,1795,1608,8660,-132.0,2019-20
San Antonio Spurs,79,36,43,0.456,3238,6871,0.471,807,2173,0.371,1500,1860,0.806,701,2765,3466,1894,1038.0,576,419,338,1548,1612,8783,-71.0,2019-20
Toronto Raptors,77,55,22,0.714,3041,6708,0.453,1038,2821,0.368,1440,1816,0.793,741,2733,3474,1902,1142.0,676,384,420,1677,1598,8560,458.0,2019-20
Utah Jazz,80,48,32,0.6,3128,6709,0.466,1035,2773,0.373,1368,1782,0.768,751,2814,3565,1768,1230.0,500,331,351,1635,1643,8659,164.0,2019-20
Washington Wizards,77,27,50,0.351,3132,6924,0.452,894,2473,0.362,1473,1879,0.784,785,2442,3227,1875,1086.0,607,330,397,1740,1703,8631,-363.0,2019-20
Atlanta Hawks,72,41,31,0.569,2937,6281,0.468,895,2402,0.373,1417,1745,0.812,760,2525,3285,1737,953.0,503,342,363,1392,1422,8186,167.0,2020-21
Boston Celtics,72,36,36,0.5,2985,6401,0.466,979,2618,0.374,1160,1496,0.775,765,2421,3186,1689,1012.0,556,383,334,1471,1389,8109,105.0,2020-21
Brooklyn Nets,72,48,24,0.667,3106,6289,0.494,1020,2600,0.392,1305,1623,0.804,640,2559,3199,1929,975.0,484,379,330,1371,1361,8537,324.0,2020-21
Charlotte Hornets,72,33,39,0.458,2875,6324,0.455,985,2666,0.369,1146,1505,0.761,762,2389,3151,1933,1069.0,565,344,347,1298,1340,7881,-139.0,2020-21
Chicago Bulls,72,31,41,0.431,3035,6380,0.476,904,2446,0.37,995,1258,0.791,693,2544,3237,1927,1089.0,482,304,364,1362,1277,7969,-64.0,2020-21
Cleveland Cavaliers,72,22,50,0.306,2778,6175,0.45,720,2141,0.336,1200,1614,0.743,751,2327,3078,1716,1114.0,559,325,425,1308,1451,7476,-608.0,2020-21
Dallas Mavericks,72,42,30,0.583,2958,6287,0.47,994,2744,0.362,1186,1524,0.778,657,2463,3120,1647,869.0,450,311,264,1396,1446,8096,163.0,2020-21
Denver Nuggets,72,47,25,0.653,3114,6422,0.485,927,2462,0.377,1129,1406,0.803,758,2442,3200,1933,972.0,582,323,325,1374,1379,8284,355.0,2020-21
Detroit Pistons,72,20,52,0.278,2783,6162,0.452,832,2370,0.351,1278,1683,0.759,694,2381,3075,1743,1075.0,531,371,419,1477,1469,7676,-322.0,2020-21
Golden State Warriors,72,39,33,0.542,2973,6347,0.468,1048,2789,0.376,1193,1520,0.785,574,2524,3098,1991,1080.0,587,342,312,1526,1406,8187,76.0,2020-21
Houston Rockets,72,17,55,0.236,2826,6372,0.444,992,2923,0.339,1189,1606,0.74,671,2396,3067,1699,1060.0,546,361,378,1407,1388,7833,-569.0,2020-21
Indiana Pacers,72,34,38,0.472,3115,6567,0.474,889,2445,0.364,1183,1493,0.792,648,2424,3072,1973,975.0,611,460,380,1453,1306,8302,-3.0,2020-21
LA Clippers,72,47,25,0.653,3009,6242,0.482,1027,2498,0.411,1164,1387,0.839,678,2501,3179,1756,949.0,509,295,304,1383,1303,8209,445.0,2020-21
Los Angeles Lakers,72,42,30,0.583,2925,6197,0.472,796,2248,0.354,1241,1679,0.739,695,2490,3185,1775,1095.0,562,386,327,1377,1530,7887,201.0,2020-21
Memphis Grizzlies,72,38,34,0.528,3085,6608,0.467,803,2258,0.356,1184,1536,0.771,803,2543,3346,1938,957.0,655,364,377,1349,1318,8157,74.0,2020-21
Miami Heat,72,40,32,0.556,2824,6029,0.468,932,2606,0.358,1201,1520,0.79,579,2409,2988,1895,1013.0,569,286,287,1363,1414,7781,2.0,2020-21
Milwaukee Bucks,72,46,26,0.639,3221,6610,0.487,1038,2669,0.389,1169,1539,0.76,741,2724,3465,1834,995.0,585,334,348,1244,1320,8649,424.0,2020-21
Minnesota Timberwolves,72,23,49,0.319,2932,6546,0.448,944,2706,0.349,1265,1662,0.761,757,2376,3133,1846,1027.0,632,398,398,1507,1432,8073,-400.0,2020-21
New Orleans Pelicans,72,31,41,0.431,3060,6412,0.477,762,2190,0.348,1369,1878,0.729,845,2568,3413,1872,1052.0,545,315,426,1295,1534,8251,-21.0,2020-21
New York Knicks,72,41,31,0.569,2839,6225,0.456,847,2163,0.392,1181,1506,0.784,696,2554,3250,1541,932.0,507,365,391,1473,1286,7706,166.0,2020-21
Oklahoma City Thunder,72,22,50,0.306,2795,6338,0.441,857,2529,0.339,1113,1536,0.725,715,2568,3283,1588,1162.0,504,316,378,1305,1336,7560,-766.0,2020-21
Orlando Magic,72,21,51,0.292,2754,6423,0.429,784,2288,0.343,1196,1543,0.775,747,2525,3272,1571,924.0,496,318,385,1237,1342,7488,-670.0,2020-21
Philadelphia 76ers,72,49,23,0.681,2981,6257,0.476,811,2169,0.374,1409,1836,0.767,722,2522,3244,1706,1040.0,655,447,335,1456,1509,8182,402.0,2020-21
Phoenix Suns,72,51,21,0.708,3118,6357,0.49,940,2490,0.378,1124,1347,0.834,630,2462,3092,1939,902.0,517,312,258,1374,1294,8300,419.0,2020-21
Portland Trail Blazers,72,42,30,0.583,2973,6558,0.453,1132,2939,0.385,1282,1558,0.823,766,2441,3207,1531,799.0,496,363,333,1362,1374,8360,129.0,2020-21
Sacramento Kings,72,31,41,0.431,3067,6382,0.481,874,2400,0.364,1181,1585,0.745,674,2307,2981,1836,963.0,543,358,336,1400,1348,8189,-265.0,2020-21
San Antonio Spurs,72,33,39,0.458,3014,6518,0.462,716,2046,0.35,1254,1584,0.792,669,2489,3158,1759,821.0,505,366,369,1293,1338,7998,-125.0,2020-21
Toronto Raptors,72,27,45,0.375,2859,6383,0.448,1041,2831,0.368,1252,1536,0.815,680,2314,2994,1735,952.0,618,388,402,1526,1405,8011,-34.0,2020-21
Utah Jazz,72,52,20,0.722,2971,6344,0.468,1205,3098,0.389,1235,1546,0.799,765,2709,3474,1703,1023.0,474,371,282,1335,1365,8382,666.0,2020-21
Washington Wizards,72,34,38,0.472,3108,6547,0.475,733,2088,0.351,1449,1884,0.769,697,2557,3254,1835,1036.0,528,297,348,1555,1586,8398,-132.0,2020-21
Atlanta Hawks,87,45,42,0.517,3569,7606,0.469,1103,2970,0.371,1536,1894,0.811,869,2925,3794,2126,1051.0,618,369,381,1634,1758,9777,104.0,2021-22
Boston Celtics,87,55,32,0.632,3516,7542,0.466,1154,3234,0.357,1445,1785,0.81,904,3086,3990,2157,1197.0,622,505,397,1629,1681,9631,648.0,2021-22
Brooklyn Nets,87,47,40,0.54,3590,7646,0.47,977,2744,0.356,1542,1912,0.806,914,2948,3862,2138,1243.0,617,479,437,1784,1744,9699,56.0,2021-22
Charlotte Hornets,87,43,44,0.494,3661,7855,0.466,1181,3249,0.363,1368,1840,0.743,941,2896,3837,2395,1190.0,745,430,408,1721,1709,9871,-8.0,2021-22
Chicago Bulls,87,48,39,0.552,3570,7519,0.475,902,2493,0.362,1528,1887,0.81,779,2923,3702,2041,1119.0,622,359,444,1636,1593,9570,-45.0,2021-22
Cleveland Cavaliers,87,46,41,0.529,3411,7319,0.466,998,2830,0.353,1445,1903,0.759,896,2941,3837,2151,1244.0,613,367,405,1526,1730,9265,157.0,2021-22
Dallas Mavericks,87,53,34,0.609,3366,7343,0.458,1108,3195,0.347,1408,1834,0.768,806,2905,3711,1996,1097.0,594,345,336,1720,1751,9248,229.0,2021-22
Denver Nuggets,87,50,37,0.575,3570,7442,0.48,1090,3095,0.352,1439,1831,0.786,804,2997,3801,2366,1275.0,632,330,413,1740,1739,9669,149.0,2021-22
Detroit Pistons,87,26,61,0.299,3287,7633,0.431,981,3013,0.326,1479,1904,0.777,953,2786,3739,2008,1245.0,667,426,456,1916,1722,9034,-633.0,2021-22
Golden State Warriors,89,56,33,0.629,3544,7624,0.465,1253,3451,0.363,1365,1783,0.766,867,3140,4007,2353,1333.0,784,415,354,1862,1603,9706,459.0,2021-22
Houston Rockets,87,23,64,0.264,3386,7480,0.453,1159,3362,0.345,1508,2112,0.714,848,2806,3654,2028,1430.0,645,414,519,1790,1931,9439,-693.0,2021-22
Indiana Pacers,87,28,59,0.322,3554,7695,0.462,1046,3039,0.344,1421,1851,0.768,974,2815,3789,2166,1260.0,630,492,417,1778,1678,9575,-218.0,2021-22
LA Clippers,87,43,44,0.494,3444,7569,0.455,1098,2961,0.371,1321,1684,0.784,816,3014,3830,2065,1202.0,640,446,362,1641,1604,9307,-28.0,2021-22
Los Angeles Lakers,89,37,52,0.416,3627,7809,0.464,1031,3001,0.344,1480,2023,0.732,870,3003,3873,2095,1292.0,696,457,376,1768,1800,9765,-257.0,2021-22
Memphis Grizzlies,90,61,29,0.678,3841,8381,0.458,1020,2920,0.349,1499,2053,0.73,1258,3123,4381,2296,1197.0,864,572,541,1768,1787,10201,494.0,2021-22
Miami Heat,89,57,32,0.64,3472,7476,0.464,1178,3133,0.376,1505,1874,0.803,886,2987,3873,2218,1315.0,668,295,360,1826,1824,9627,373.0,2021-22
