TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,SEASON
Washington Wizards,82,41,41,0.5,104.5,105.1,-0.5,0.619,1.69,18.1,0.25,0.737,0.49,0.145,0.511,0.544,99.16,8163,0.497,2015-16
,11,6,5,0.545,96.4,93.1,3.3,0.517,0.97,13.1,0.285,0.675,0.468,0.179,0.459,0.502,94.58,867,0.508,2016-17
,11,5,6,0.455,98.8,98.2,0.7,0.492,0.84,12.9,0.376,0.658,0.514,0.208,0.469,0.509,100.58,924,0.471,2016-17
,9,3,6,0.333,100.4,98.0,2.4,0.526,0.99,14.0,0.313,0.677,0.499,0.191,0.486,0.531,99.93,750,0.533,2016-17
,9,3,6,0.333,96.7,103.1,-6.4,0.49,0.9,12.7,0.293,0.732,0.507,0.187,0.466,0.506,96.4,729,0.44,2016-17
,8,5,3,0.625,100.6,95.3,5.4,0.418,0.86,12.3,0.298,0.657,0.483,0.186,0.494,0.53,97.27,652,0.541,2016-17
,8,4,4,0.5,99.2,102.3,-3.0,0.543,1.12,14.0,0.338,0.645,0.489,0.17,0.46,0.506,98.09,660,0.5,2016-17
,8,4,4,0.5,99.6,101.0,-1.5,0.436,0.74,11.0,0.309,0.664,0.49,0.191,0.476,0.533,101.02,674,0.489,2016-17
,7,4,3,0.571,100.5,95.3,5.2,0.408,0.69,10.6,0.331,0.656,0.505,0.197,0.481,0.535,101.96,600,0.557,2016-17
,7,7,0,1.0,103.8,94.8,9.0,0.509,1.23,13.9,0.378,0.748,0.554,0.159,0.452,0.499,94.55,555,0.549,2016-17
,6,4,2,0.667,95.3,90.7,4.6,0.576,0.82,14.4,0.344,0.737,0.543,0.237,0.482,0.524,97.5,489,0.59,2016-17
,6,4,2,0.667,98.4,95.8,2.6,0.509,0.93,13.3,0.34,0.679,0.515,0.192,0.469,0.514,98.18,494,0.527,2016-17
,6,2,4,0.333,87.3,90.3,-3.0,0.538,0.9,12.7,0.304,0.713,0.49,0.187,0.401,0.448,99.4,497,0.459,2016-17
,5,4,1,0.8,102.0,88.3,13.8,0.536,0.93,13.9,0.34,0.693,0.524,0.202,0.498,0.541,94.56,396,0.632,2016-17
,5,3,2,0.6,106.9,92.0,14.9,0.434,1.01,12.4,0.381,0.672,0.535,0.167,0.479,0.527,97.31,408,0.621,2016-17
,5,4,1,0.8,96.5,83.9,12.7,0.372,0.63,9.3,0.321,0.689,0.511,0.189,0.44,0.506,95.76,403,0.605,2016-17
,5,4,1,0.8,100.0,90.4,9.6,0.577,1.15,14.6,0.293,0.716,0.5,0.171,0.462,0.509,100.08,416,0.582,2016-17
,5,3,2,0.6,98.0,92.7,5.4,0.415,0.82,11.5,0.315,0.665,0.5,0.181,0.481,0.514,98.16,409,0.557,2016-17
,5,2,3,0.4,96.1,95.4,0.7,0.543,0.85,14.9,0.308,0.685,0.52,0.236,0.517,0.543,98.88,411,0.531,2016-17
,5,3,2,0.6,94.9,93.2,1.6,0.496,0.77,12.4,0.314,0.719,0.519,0.213,0.457,0.509,101.82,428,0.526,2016-17
,5,2,3,0.4,100.7,100.5,0.2,0.428,0.84,11.4,0.362,0.711,0.532,0.184,0.456,0.504,96.48,402,0.506,2016-17
,5,3,2,0.6,104.3,99.0,5.3,0.514,1.07,13.8,0.299,0.7,0.499,0.173,0.492,0.532,95.04,394,0.497,2016-17
,5,1,4,0.2,89.6,98.8,-9.2,0.482,0.85,12.5,0.298,0.67,0.489,0.194,0.439,0.474,96.72,402,0.452,2016-17
,5,2,3,0.4,96.4,99.3,-2.9,0.6,1.04,15.3,0.308,0.689,0.497,0.201,0.477,0.507,100.08,417,0.452,2016-17
,5,2,3,0.4,91.0,98.8,-7.8,0.453,0.84,11.8,0.205,0.673,0.44,0.175,0.458,0.502,99.88,423,0.45,2016-17
,5,2,3,0.4,96.5,106.2,-9.7,0.416,0.7,10.3,0.348,0.632,0.485,0.191,0.448,0.507,101.16,425,0.429,2016-17
,5,1,4,0.2,97.1,101.7,-4.6,0.446,1.22,11.9,0.32,0.667,0.479,0.131,0.427,0.464,99.6,413,0.429,2016-17
,5,2,3,0.4,88.7,94.5,-5.8,0.546,0.79,13.4,0.301,0.712,0.488,0.226,0.449,0.488,103.25,434,0.421,2016-17
,5,0,5,0.0,87.1,104.9,-17.8,0.574,0.74,14.0,0.295,0.686,0.507,0.248,0.454,0.508,101.7,428,0.396,2016-17
,5,0,5,0.0,81.0,101.0,-20.0,0.441,0.49,10.2,0.261,0.658,0.468,0.258,0.428,0.473,97.54,411,0.307,2016-17
Atlanta Hawks,82,43,39,0.524,104.5,105.2,-0.7,0.621,1.5,17.4,0.282,0.717,0.502,0.16,0.504,0.541,97.76,8091,0.506,2016-17
Boston Celtics,82,53,29,0.646,110.6,108.0,2.6,0.653,1.9,18.8,0.259,0.705,0.485,0.136,0.525,0.567,97.21,8005,0.514,2016-17
Brooklyn Nets,82,20,62,0.244,103.6,110.1,-6.5,0.566,1.29,15.9,0.241,0.716,0.483,0.162,0.507,0.551,101.75,8371,0.46,2016-17
Charlotte Hornets,82,36,46,0.439,108.4,108.4,0.0,0.611,2.01,17.6,0.247,0.749,0.496,0.119,0.501,0.547,95.92,7934,0.505,2016-17
Chicago Bulls,82,41,41,0.5,106.5,106.2,0.3,0.584,1.66,16.8,0.311,0.733,0.519,0.14,0.487,0.53,96.02,7919,0.504,2016-17
Cleveland Cavaliers,82,51,31,0.622,112.8,109.7,3.1,0.567,1.66,17.1,0.264,0.722,0.499,0.14,0.547,0.58,96.74,8019,0.51,2016-17
Dallas Mavericks,82,33,49,0.402,104.7,107.7,-3.0,0.574,1.75,16.8,0.216,0.733,0.465,0.127,0.505,0.541,93.11,7668,0.479,2016-17
Denver Nuggets,82,40,42,0.488,112.2,111.7,0.4,0.615,1.69,18.2,0.314,0.753,0.532,0.15,0.53,0.568,99.18,8167,0.503,2016-17
Detroit Pistons,82,37,45,0.451,105.3,106.7,-1.4,0.53,1.78,16.1,0.286,0.775,0.519,0.123,0.492,0.521,95.52,7890,0.482,2016-17
Golden State Warriors,82,67,15,0.817,114.8,103.4,11.4,0.705,2.06,21.2,0.272,0.709,0.504,0.146,0.563,0.597,100.37,8279,0.579,2016-17
Houston Rockets,82,55,27,0.671,114.1,108.4,5.7,0.626,1.67,18.1,0.281,0.717,0.499,0.15,0.545,0.583,100.55,8289,0.516,2016-17
Indiana Pacers,82,42,40,0.512,107.9,108.1,-0.2,0.572,1.63,17.2,0.255,0.713,0.488,0.141,0.516,0.558,96.59,7989,0.505,2016-17
LA Clippers,82,51,31,0.622,111.8,107.5,4.4,0.57,1.74,17.2,0.256,0.733,0.501,0.133,0.537,0.574,96.77,7968,0.527,2016-17
Los Angeles Lakers,82,26,56,0.317,105.3,112.0,-6.7,0.532,1.38,15.6,0.284,0.717,0.494,0.153,0.501,0.537,99.26,8143,0.446,2016-17
Memphis Grizzlies,82,43,39,0.524,107.0,106.5,0.5,0.584,1.65,16.5,0.295,0.731,0.507,0.137,0.491,0.535,92.84,7702,0.501,2016-17
Miami Heat,82,41,41,0.5,107.4,106.4,1.0,0.544,1.58,16.3,0.284,0.718,0.499,0.14,0.512,0.541,95.51,7875,0.5,2016-17
Milwaukee Bucks,82,42,40,0.512,108.5,108.7,-0.2,0.624,1.73,18.5,0.26,0.706,0.487,0.146,0.527,0.565,94.99,7828,0.504,2016-17
Minnesota Timberwolves,82,31,51,0.378,110.0,110.9,-0.9,0.6,1.69,17.7,0.309,0.71,0.507,0.146,0.511,0.555,95.48,7870,0.501,2016-17
New Orleans Pelicans,82,34,48,0.415,104.7,106.8,-2.1,0.582,1.77,17.1,0.228,0.728,0.48,0.129,0.504,0.539,98.56,8173,0.493,2016-17
New York Knicks,82,31,51,0.378,107.1,110.7,-3.6,0.551,1.57,16.3,0.305,0.698,0.5,0.143,0.496,0.534,96.63,7990,0.482,2016-17
Oklahoma City Thunder,82,47,35,0.573,107.9,107.1,0.8,0.532,1.4,15.5,0.323,0.742,0.528,0.152,0.5,0.54,98.18,8099,0.499,2016-17
Orlando Magic,82,29,53,0.354,103.7,110.3,-6.5,0.58,1.67,16.8,0.267,0.726,0.491,0.137,0.489,0.524,96.9,7989,0.46,2016-17
Philadelphia 76ers,82,28,54,0.341,102.7,108.2,-5.5,0.631,1.43,17.4,0.273,0.709,0.49,0.167,0.501,0.539,99.07,8179,0.47,2016-17
Phoenix Suns,82,24,58,0.293,106.1,111.3,-5.2,0.491,1.27,14.4,0.299,0.718,0.503,0.152,0.493,0.538,100.85,8320,0.462,2016-17
Portland Trail Blazers,82,41,41,0.5,109.4,110.0,-0.6,0.534,1.54,16.0,0.269,0.72,0.496,0.139,0.52,0.559,97.38,8088,0.493,2016-17
Sacramento Kings,82,32,50,0.39,106.6,110.8,-4.2,0.594,1.54,17.3,0.258,0.723,0.492,0.152,0.516,0.556,95.42,7911,0.478,2016-17
San Antonio Spurs,82,61,21,0.744,110.3,102.9,7.4,0.606,1.77,18.1,0.282,0.73,0.511,0.141,0.524,0.564,94.86,7832,0.551,2016-17
Toronto Raptors,82,51,31,0.622,111.4,107.1,4.3,0.472,1.46,14.5,0.291,0.717,0.505,0.132,0.517,0.561,95.41,7867,0.516,2016-17
Utah Jazz,82,51,31,0.622,109.0,104.7,4.3,0.544,1.48,16.2,0.27,0.743,0.514,0.148,0.526,0.563,92.09,7579,0.534,2016-17
Washington Wizards,82,49,33,0.598,110.4,108.8,1.7,0.577,1.68,17.6,0.286,0.716,0.501,0.143,0.528,0.564,97.94,8109,0.511,2016-17
,11,10,1,0.909,105.3,94.8,10.6,0.486,1.22,13.8,0.295,0.712,0.494,0.15,0.496,0.535,99.69,919,0.573,2017-18
,11,4,7,0.364,95.3,100.2,-4.9,0.488,0.84,11.9,0.326,0.667,0.493,0.186,0.441,0.491,96.32,918,0.459,2017-18
,8,6,2,0.75,108.7,103.5,5.2,0.596,1.35,17.3,0.266,0.72,0.508,0.171,0.552,0.588,109.57,735,0.551,2017-18
,8,5,3,0.625,93.9,92.3,1.6,0.448,0.68,11.9,0.286,0.76,0.545,0.223,0.488,0.522,101.47,676,0.528,2017-18
,8,5,3,0.625,99.9,98.7,1.2,0.467,0.85,12.3,0.37,0.706,0.526,0.197,0.463,0.506,102.15,680,0.525,2017-18
,8,4,4,0.5,102.4,101.9,0.4,0.442,0.85,12.1,0.311,0.639,0.474,0.186,0.482,0.532,100.5,672,0.491,2017-18
,8,4,4,0.5,94.2,95.0,-0.9,0.473,0.89,12.5,0.318,0.706,0.506,0.187,0.456,0.492,101.81,684,0.481,2017-18
,8,2,6,0.25,103.7,106.9,-3.2,0.5,0.99,13.6,0.337,0.68,0.492,0.185,0.487,0.526,106.27,707,0.449,2017-18
,6,5,1,0.833,100.6,98.1,2.4,0.372,0.75,10.1,0.364,0.65,0.507,0.178,0.455,0.509,104.29,535,0.513,2017-18
,6,2,4,0.333,101.3,102.6,-1.3,0.422,0.74,11.4,0.327,0.676,0.504,0.2,0.485,0.535,106.9,535,0.491,2017-18
,6,2,4,0.333,95.4,101.2,-5.8,0.494,0.93,12.6,0.287,0.681,0.487,0.176,0.455,0.499,101.25,522,0.483,2017-18
,6,2,4,0.333,96.8,98.2,-1.4,0.404,0.78,10.9,0.312,0.669,0.495,0.182,0.455,0.495,101.5,506,0.466,2017-18
,6,1,5,0.167,101.8,108.0,-6.3,0.38,0.86,11.2,0.289,0.662,0.48,0.167,0.483,0.524,102.0,509,0.46,2017-18
,6,2,4,0.333,96.9,100.2,-3.2,0.466,0.9,12.9,0.268,0.707,0.484,0.187,0.478,0.512,105.4,524,0.447,2017-18
,5,4,1,0.8,97.9,87.7,10.2,0.422,0.9,11.1,0.333,0.724,0.527,0.164,0.433,0.481,103.29,438,0.58,2017-18
,5,3,2,0.6,105.1,96.9,8.2,0.531,1.21,15.6,0.273,0.686,0.487,0.171,0.518,0.548,93.42,414,0.568,2017-18
,5,3,2,0.6,98.4,91.2,7.2,0.459,1.01,12.7,0.226,0.791,0.515,0.16,0.478,0.519,108.72,451,0.556,2017-18
,5,3,2,0.6,104.1,100.0,4.1,0.469,0.97,13.5,0.352,0.691,0.53,0.187,0.494,0.537,98.97,418,0.546,2017-18
,5,3,2,0.6,107.4,103.7,3.7,0.537,1.19,16.0,0.31,0.692,0.515,0.182,0.533,0.564,103.49,434,0.545,2017-18
,5,3,2,0.6,96.5,93.7,2.8,0.461,0.9,12.2,0.354,0.694,0.517,0.182,0.444,0.488,103.56,433,0.537,2017-18
,5,4,1,0.8,107.1,103.3,3.8,0.49,1.03,14.1,0.388,0.661,0.532,0.19,0.501,0.539,94.8,395,0.533,2017-18
,5,2,3,0.4,100.9,104.5,-3.6,0.605,1.03,14.5,0.327,0.621,0.479,0.189,0.484,0.541,107.05,454,0.513,2017-18
,5,3,2,0.6,105.6,102.1,3.6,0.396,0.95,11.4,0.35,0.677,0.511,0.158,0.47,0.524,93.72,392,0.499,2017-18
,5,2,3,0.4,97.8,99.0,-1.2,0.56,1.08,14.7,0.29,0.638,0.464,0.182,0.464,0.509,96.48,402,0.483,2017-18
,5,0,5,0.0,94.5,100.0,-5.5,0.415,0.67,10.2,0.299,0.656,0.485,0.192,0.441,0.506,103.92,433,0.476,2017-18
,5,1,4,0.2,100.5,107.9,-7.4,0.664,1.04,17.2,0.299,0.691,0.508,0.226,0.514,0.554,96.96,402,0.464,2017-18
,5,3,2,0.6,92.2,93.1,-1.0,0.514,1.09,12.9,0.314,0.744,0.503,0.161,0.426,0.457,97.97,422,0.46,2017-18
,5,2,3,0.4,108.1,115.1,-7.0,0.592,1.15,16.3,0.346,0.687,0.513,0.197,0.516,0.552,95.16,395,0.457,2017-18
,5,2,3,0.4,92.4,98.1,-5.7,0.504,0.93,12.7,0.263,0.654,0.461,0.176,0.458,0.493,100.44,420,0.445,2017-18
,5,1,4,0.2,89.9,103.9,-13.9,0.428,0.89,11.2,0.248,0.677,0.459,0.158,0.438,0.47,99.84,417,0.383,2017-18
Atlanta Hawks,82,24,58,0.293,104.4,110.1,-5.7,0.622,1.53,17.6,0.263,0.719,0.489,0.157,0.512,0.547,98.76,8114,0.468,2017-18
Boston Celtics,82,55,27,0.671,106.8,103.2,3.6,0.586,1.6,17.0,0.263,0.739,0.504,0.144,0.518,0.552,96.75,7987,0.519,2017-18
Brooklyn Nets,82,28,54,0.341,106.1,109.7,-3.6,0.619,1.56,17.3,0.251,0.731,0.489,0.151,0.514,0.551,99.66,8238,0.474,2017-18
Charlotte Hornets,82,36,46,0.439,109.0,109.0,-0.1,0.554,1.7,16.1,0.271,0.763,0.512,0.128,0.508,0.549,98.66,8143,0.5,2017-18
Chicago Bulls,82,27,55,0.329,103.4,110.5,-7.0,0.607,1.68,17.3,0.256,0.767,0.5,0.141,0.497,0.529,98.65,8160,0.453,2017-18
Cleveland Cavaliers,82,50,32,0.61,112.0,111.1,1.0,0.579,1.7,17.5,0.243,0.73,0.492,0.139,0.547,0.584,98.72,8114,0.502,2017-18
Dallas Mavericks,82,24,58,0.293,105.4,108.4,-2.9,0.594,1.85,17.3,0.224,0.749,0.478,0.127,0.513,0.544,96.53,7959,0.475,2017-18
Denver Nuggets,82,46,36,0.561,111.4,110.0,1.4,0.617,1.68,18.2,0.3,0.736,0.517,0.151,0.536,0.57,97.69,8095,0.511,2017-18
Detroit Pistons,82,39,43,0.476,106.6,106.7,-0.1,0.582,1.7,17.1,0.269,0.74,0.499,0.138,0.512,0.543,96.75,7981,0.489,2017-18
Golden State Warriors,82,58,24,0.707,112.8,106.8,5.9,0.685,1.9,20.9,0.243,0.712,0.497,0.153,0.569,0.603,100.35,8251,0.554,2017-18
Houston Rockets,82,65,17,0.793,114.1,105.7,8.4,0.557,1.56,16.4,0.254,0.75,0.503,0.141,0.551,0.59,98.02,8078,0.531,2017-18
Indiana Pacers,82,48,34,0.585,108.5,107.3,1.3,0.544,1.67,16.8,0.271,0.721,0.496,0.136,0.525,0.557,96.84,7977,0.509,2017-18
LA Clippers,82,42,40,0.512,109.4,109.2,0.2,0.555,1.52,16.5,0.284,0.718,0.504,0.147,0.527,0.564,99.54,8167,0.497,2017-18
Los Angeles Lakers,82,35,47,0.427,106.0,107.3,-1.3,0.584,1.51,17.0,0.279,0.729,0.505,0.155,0.517,0.548,100.9,8361,0.491,2017-18
Memphis Grizzlies,82,22,60,0.268,103.6,110.4,-6.8,0.586,1.44,16.6,0.276,0.721,0.493,0.156,0.5,0.539,95.65,7865,0.46,2017-18
Miami Heat,82,44,38,0.537,106.2,105.8,0.4,0.585,1.58,17.1,0.261,0.741,0.501,0.148,0.52,0.551,96.1,7985,0.505,2017-18
Milwaukee Bucks,82,44,38,0.537,109.0,109.1,-0.2,0.585,1.68,17.7,0.244,0.709,0.48,0.142,0.531,0.571,97.03,8013,0.502,2017-18
Minnesota Timberwolves,82,47,35,0.573,112.5,110.2,2.3,0.553,1.82,17.0,0.289,0.72,0.503,0.128,0.523,0.566,96.75,7985,0.518,2017-18
New Orleans Pelicans,82,48,34,0.585,108.5,107.4,1.1,0.627,1.79,19.0,0.24,0.726,0.494,0.145,0.541,0.573,101.48,8443,0.525,2017-18
New York Knicks,82,29,53,0.354,106.3,109.7,-3.4,0.573,1.58,17.2,0.289,0.727,0.509,0.15,0.51,0.544,97.64,8059,0.481,2017-18
Oklahoma City Thunder,82,48,34,0.585,110.1,106.4,3.7,0.535,1.53,15.8,0.32,0.725,0.515,0.143,0.514,0.546,97.34,8036,0.508,2017-18
Orlando Magic,82,25,57,0.305,104.7,109.4,-4.7,0.604,1.61,17.5,0.248,0.714,0.48,0.147,0.512,0.545,98.58,8096,0.472,2017-18
Philadelphia 76ers,82,52,30,0.634,108.5,103.9,4.6,0.663,1.64,19.1,0.286,0.736,0.52,0.163,0.535,0.568,100.75,8299,0.542,2017-18
Phoenix Suns,82,21,61,0.256,102.8,111.7,-9.0,0.553,1.35,15.6,0.271,0.724,0.493,0.155,0.495,0.532,101.14,8293,0.442,2017-18
Portland Trail Blazers,82,49,33,0.598,108.4,105.7,2.7,0.496,1.44,15.0,0.279,0.746,0.513,0.139,0.511,0.549,97.11,7992,0.51,2017-18
Sacramento Kings,82,27,55,0.329,103.1,110.4,-7.3,0.556,1.57,16.6,0.264,0.731,0.489,0.143,0.502,0.529,95.5,7860,0.451,2017-18
San Antonio Spurs,82,47,35,0.573,107.1,104.1,3.0,0.583,1.73,17.3,0.277,0.741,0.508,0.137,0.507,0.543,95.7,7867,0.525,2017-18
Toronto Raptors,82,59,23,0.72,113.0,105.3,7.7,0.59,1.82,17.9,0.274,0.725,0.502,0.135,0.539,0.575,98.02,8104,0.538,2017-18
Utah Jazz,82,48,34,0.585,107.4,103.0,4.4,0.586,1.53,17.1,0.256,0.756,0.509,0.152,0.527,0.564,96.58,7951,0.532,2017-18
Washington Wizards,82,43,39,0.524,108.1,107.7,0.4,0.631,1.73,18.4,0.274,0.732,0.504,0.148,0.525,0.56,97.67,8087,0.509,2017-18
,10,6,4,0.6,102.1,97.5,4.6,0.549,1.14,14.8,0.311,0.696,0.507,0.177,0.486,0.525,102.53,862,0.522,2018-19
,10,6,4,0.6,100.8,102.5,-1.7,0.483,1.19,13.7,0.281,0.67,0.476,0.154,0.487,0.521,101.34,845,0.501,2018-19
,9,3,6,0.333,96.2,103.2,-7.0,0.498,1.04,12.9,0.321,0.707,0.503,0.169,0.452,0.485,109.07,818,0.428,2018-19
,8,4,4,0.5,99.4,100.0,-0.6,0.562,1.25,15.7,0.291,0.71,0.51,0.17,0.492,0.521,104.62,699,0.511,2018-19
,8,4,4,0.5,100.6,101.6,-1.0,0.622,1.35,16.0,0.337,0.723,0.52,0.166,0.471,0.509,103.87,693,0.492,2018-19
,8,4,4,0.5,88.2,88.9,-0.6,0.53,1.23,13.1,0.256,0.66,0.452,0.14,0.408,0.444,100.8,671,0.487,2018-19
,8,3,5,0.375,95.5,101.3,-5.8,0.565,1.09,15.2,0.259,0.681,0.478,0.186,0.486,0.519,103.53,694,0.479,2018-19
,8,3,5,0.375,93.6,99.2,-5.6,0.491,0.87,12.9,0.315,0.705,0.513,0.198,0.452,0.491,98.62,658,0.464,2018-19
,7,7,0,1.0,108.5,91.8,16.7,0.492,1.2,14.4,0.344,0.713,0.538,0.163,0.514,0.553,102.69,600,0.629,2018-19
,7,5,2,0.714,103.0,95.9,7.1,0.473,0.89,13.0,0.365,0.661,0.525,0.198,0.485,0.53,102.76,607,0.57,2018-19
,6,4,2,0.667,102.7,100.6,2.1,0.532,1.33,15.3,0.292,0.659,0.483,0.156,0.49,0.524,97.7,487,0.511,2018-19
,6,2,4,0.333,94.4,100.0,-5.6,0.486,1.14,12.6,0.364,0.736,0.535,0.153,0.42,0.457,102.9,517,0.456,2018-19
,6,3,3,0.5,87.1,93.3,-6.2,0.506,0.88,12.0,0.255,0.689,0.467,0.175,0.419,0.467,104.0,519,0.438,2018-19
,6,2,4,0.333,96.1,103.5,-7.4,0.574,1.22,14.5,0.304,0.665,0.473,0.162,0.455,0.488,101.26,511,0.424,2018-19
,6,2,4,0.333,96.1,102.9,-6.8,0.547,1.09,13.7,0.336,0.689,0.495,0.175,0.441,0.475,103.5,515,0.406,2018-19
,5,4,1,0.8,98.8,83.5,15.3,0.62,0.97,16.3,0.335,0.744,0.557,0.231,0.512,0.545,99.24,415,0.65,2018-19
,5,2,3,0.4,97.7,93.2,4.5,0.549,1.11,14.7,0.317,0.704,0.517,0.185,0.488,0.514,102.42,433,0.558,2018-19
,5,3,2,0.6,97.6,92.6,5.0,0.572,1.04,15.7,0.294,0.713,0.52,0.201,0.5,0.529,109.08,452,0.557,2018-19
,5,4,1,0.8,100.4,95.6,4.8,0.538,0.99,13.6,0.257,0.668,0.468,0.178,0.491,0.539,114.24,477,0.551,2018-19
,5,2,3,0.4,106.9,99.1,7.8,0.48,1.24,13.7,0.321,0.727,0.508,0.149,0.489,0.531,108.0,449,0.529,2018-19
,5,2,3,0.4,97.8,98.3,-0.5,0.586,1.03,14.9,0.286,0.653,0.484,0.196,0.49,0.525,98.64,409,0.525,2018-19
,5,2,3,0.4,108.5,107.7,0.8,0.59,1.26,17.0,0.273,0.68,0.496,0.181,0.547,0.596,107.04,448,0.524,2018-19
,5,3,2,0.6,89.7,84.1,5.6,0.405,0.75,10.5,0.328,0.731,0.52,0.183,0.419,0.456,104.64,437,0.523,2018-19
,5,3,2,0.6,97.7,97.3,0.4,0.519,1.17,13.9,0.295,0.687,0.486,0.16,0.454,0.498,105.5,443,0.504,2018-19
,5,2,3,0.4,89.2,86.2,3.0,0.479,0.87,12.1,0.283,0.714,0.496,0.181,0.428,0.467,102.48,426,0.493,2018-19
,5,3,2,0.6,101.4,100.5,0.9,0.526,0.99,13.4,0.409,0.716,0.548,0.193,0.455,0.494,102.72,430,0.49,2018-19
,5,2,3,0.4,102.3,104.1,-1.8,0.482,1.16,13.6,0.326,0.693,0.506,0.156,0.473,0.518,104.4,435,0.488,2018-19
,5,3,2,0.6,93.3,92.4,0.9,0.59,1.3,16.2,0.261,0.736,0.491,0.17,0.464,0.487,100.68,418,0.484,2018-19
,5,1,4,0.2,91.0,96.8,-5.9,0.562,0.93,14.0,0.289,0.62,0.453,0.199,0.44,0.489,105.96,442,0.465,2018-19
,5,0,5,0.0,86.2,101.9,-15.7,0.585,0.83,14.0,0.262,0.707,0.494,0.219,0.448,0.49,112.92,471,0.425,2018-19
Atlanta Hawks,82,29,53,0.354,107.5,113.1,-5.5,0.624,1.52,17.7,0.284,0.718,0.496,0.162,0.522,0.555,104.56,8642,0.464,2018-19
Boston Celtics,82,49,33,0.598,111.3,107.0,4.3,0.624,2.05,18.8,0.257,0.728,0.495,0.127,0.534,0.567,100.43,8282,0.53,2018-19
Brooklyn Nets,82,42,40,0.512,108.9,109.0,-0.1,0.592,1.58,16.9,0.282,0.72,0.501,0.146,0.52,0.556,101.52,8452,0.492,2018-19
Charlotte Hornets,82,39,43,0.476,110.7,112.0,-1.3,0.578,1.9,17.0,0.268,0.731,0.495,0.122,0.514,0.554,99.18,8202,0.486,2018-19
Chicago Bulls,82,22,60,0.268,104.5,112.8,-8.3,0.55,1.55,16.3,0.242,0.727,0.483,0.141,0.505,0.541,99.3,8232,0.453,2018-19
Cleveland Cavaliers,82,19,63,0.232,106.8,116.8,-10.0,0.532,1.54,15.6,0.282,0.732,0.496,0.138,0.503,0.54,97.37,8021,0.436,2018-19
Dallas Mavericks,82,33,49,0.402,108.7,110.1,-1.5,0.603,1.64,17.0,0.273,0.734,0.503,0.142,0.519,0.555,99.6,8216,0.492,2018-19
Denver Nuggets,82,54,28,0.659,112.1,108.1,4.0,0.653,2.04,19.3,0.308,0.744,0.524,0.136,0.527,0.558,98.49,8096,0.524,2018-19
Detroit Pistons,82,41,41,0.5,108.4,108.7,-0.3,0.579,1.63,16.5,0.291,0.745,0.509,0.14,0.509,0.544,97.88,8101,0.482,2018-19
Golden State Warriors,82,57,25,0.695,115.0,108.6,6.5,0.668,2.06,20.4,0.257,0.727,0.505,0.139,0.565,0.596,101.74,8390,0.546,2018-19
Houston Rockets,82,53,29,0.646,114.9,110.1,4.8,0.541,1.59,15.9,0.269,0.7,0.481,0.135,0.542,0.581,98.39,8130,0.498,2018-19
Indiana Pacers,82,48,34,0.585,109.4,106.0,3.4,0.628,1.9,18.9,0.269,0.722,0.499,0.139,0.53,0.561,98.64,8097,0.527,2018-19
LA Clippers,82,48,34,0.585,111.4,110.4,1.0,0.582,1.65,17.1,0.263,0.722,0.5,0.141,0.529,0.575,102.66,8475,0.505,2018-19
Los Angeles Lakers,82,37,45,0.451,107.4,108.9,-1.6,0.6,1.63,17.8,0.27,0.725,0.502,0.15,0.527,0.554,103.6,8534,0.495,2018-19
Memphis Grizzlies,82,33,49,0.402,105.6,108.0,-2.4,0.631,1.71,17.9,0.247,0.724,0.484,0.143,0.508,0.548,97.15,8038,0.49,2018-19
Miami Heat,82,39,43,0.476,106.7,107.1,-0.4,0.612,1.65,17.6,0.291,0.731,0.509,0.149,0.515,0.542,98.73,8122,0.501,2018-19
Milwaukee Bucks,82,60,22,0.732,113.5,104.9,8.6,0.601,1.88,18.3,0.25,0.757,0.516,0.133,0.55,0.583,103.57,8533,0.553,2018-19
Minnesota Timberwolves,82,36,46,0.439,110.6,112.2,-1.6,0.591,1.88,17.4,0.292,0.709,0.497,0.129,0.511,0.552,100.88,8341,0.498,2018-19
New Orleans Pelicans,82,33,49,0.402,110.7,112.0,-1.3,0.619,1.82,18.6,0.285,0.729,0.509,0.142,0.529,0.563,103.89,8553,0.498,2018-19
New York Knicks,82,17,65,0.207,104.0,112.9,-8.9,0.525,1.43,14.9,0.264,0.717,0.486,0.14,0.49,0.529,100.16,8244,0.442,2018-19
Oklahoma City Thunder,82,49,33,0.598,109.8,106.5,3.4,0.548,1.67,16.3,0.298,0.738,0.509,0.134,0.514,0.545,103.38,8549,0.506,2018-19
Orlando Magic,82,42,40,0.512,108.2,107.6,0.6,0.632,1.94,18.6,0.259,0.754,0.504,0.133,0.518,0.55,98.65,8133,0.508,2018-19
Philadelphia 76ers,82,51,31,0.622,111.6,109.0,2.6,0.648,1.8,18.7,0.278,0.741,0.517,0.144,0.532,0.574,102.59,8467,0.529,2018-19
Phoenix Suns,82,19,63,0.232,105.3,114.2,-8.9,0.595,1.53,17.3,0.247,0.683,0.464,0.153,0.514,0.552,101.15,8371,0.45,2018-19
Portland Trail Blazers,82,53,29,0.646,113.7,109.5,4.2,0.544,1.66,16.6,0.308,0.739,0.526,0.137,0.528,0.568,99.96,8269,0.521,2018-19
