TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,SEASON,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
New York Knicks,82,48,34,0.5,100.0,97.0,3.0,0.61,1.28,15.6,0.312,0.688,0.5,0.161,0.473,0.518,87.74,7276.0,0.52,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Magic,82,43,39,0.5,102.1,101.1,1.0,0.61,1.45,16.6,0.312,0.688,0.5,0.161,0.473,0.518,94.14,7828.0,0.495,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,82,56,26,0.5,101.9,97.3,4.6,0.61,1.31,16.0,0.312,0.688,0.5,0.161,0.473,0.518,92.09,7619.0,0.536,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix Suns,82,51,31,0.5,98.9,96.7,2.3,0.61,1.52,17.5,0.312,0.688,0.5,0.161,0.473,0.518,94.41,7792.0,0.521,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portland Trail Blazers,82,50,32,0.5,104.7,100.5,4.2,0.61,1.56,18.6,0.312,0.688,0.5,0.161,0.473,0.518,90.53,7475.0,0.544,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento Kings,82,55,27,0.5,104.2,98.5,5.7,0.61,1.52,16.8,0.312,0.688,0.5,0.161,0.473,0.518,95.61,8010.0,0.54,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Antonio Spurs,82,58,24,0.5,105.0,96.6,8.3,0.61,1.55,17.2,0.312,0.688,0.5,0.161,0.473,0.518,90.87,7514.0,0.573,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle SuperSonics,82,44,38,0.5,104.4,104.2,0.2,0.61,1.43,16.9,0.312,0.688,0.5,0.161,0.473,0.518,92.69,7643.0,0.494,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,82,47,35,0.5,104.4,102.0,2.3,0.61,1.86,18.2,0.312,0.688,0.5,0.161,0.473,0.518,92.22,7671.0,0.522,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Jazz,82,53,29,0.5,106.1,100.9,5.2,0.61,1.63,19.6,0.312,0.688,0.5,0.161,0.473,0.518,91.08,7503.0,0.548,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
